6.6,0.36,10.2
6.3,0.4,11.8
6.6,0.63,11.4
7.1,0.65,11
7.1,0.61,10.9
6.4,0.57,10
6.5,0.56,11.3333333333333
12.4,0.75,10.4
9.6,0.71,11.4
6.2,0.52,11.3
8,0.55,9.5
7.15,0.44,10.2
7.2,0.57,10.3
6.2,0.72,9.2
6,0.58,10.15
7.5,0.46,9
6.1,0.37,10.6
7.2,0.47,9.2
6.4,0.66,12.6
7.1,0.44,13.5
5.8,0.52,11.2
5.8,0.57,13
9.3,0.67,10.6
6.2,0.71,10.5
6,0.41,12.7
8.8,0.59,11.3
5.9,0.36,10.7
7.1,0.33,12.2
6.7,0.31,10
6.9,0.56,10.4
10.4,0.85,12
7.2,0.43,12.1
6.7,0.5,11.4
5.6,0.38,10.8
6.6,0.6,10.4
6.7,0.44,8.8
8.6,0.34,10.9
7.8,0.58,9.6
6.7,0.47,9.4
7.6,0.41,9.4
7.8,0.46,10
6,0.41,10.4
6.7,0.57,10.5
6.9,0.36,12.7
9,0.56,9.2
7.9,0.69,11.2
12.2,0.63,10.4
8,0.42,10.9
6.45,0.69,11.1
6.8,0.63,12.6
6.9,0.52,9.8
13.4,0.67,9.7
5.7,0.62,11.1
6.4,0.58,11
5.2,0.84,11.9
7.2,0.48,11.1
7.7,0.58,12.2
7.8,0.63,9.3
6,0.32,11.8
6.9,0.38,11.4
6.8,0.78,10.2
9.1,0.6,9.3
9.6,0.46,10.6
8,0.72,12.1
7.5,0.54,10.9
10.6,0.51,9.8
9.3,0.72,11.2
8,0.34,10.8
6.7,0.37,12.8
7.6,0.32,9.8
8.3,0.39,10.5
7.7,0.56,10.8
5.9,0.72,10.5
6.3,0.33,11.5
6.3,0.51,9.6
6.6,0.37,12.5
11.5,0.91,11
7,0.39,10.6
8,0.64,11.4
8,0.5,9.2
9.4,0.9,10.2
7.3,0.62,10.8
6.5,0.64,11.5
5.8,0.6,9.9
9,0.62,9.5
6.6,0.79,9.8
5.6,0.46,13.05
5.7,0.5,9.8
6.1,0.53,9.1
9.6,0.65,10.1
5.7,0.38,11.7
7.1,0.31,10.5
6.8,0.4,9.6
6.7,0.46,8.9
7.4,0.43,10
9.9,0.55,9.4
6.4,0.56,10.5
6.1,0.6,9.8
5.4,0.55,10.3
6,0.44,9
8.2,0.48,10.2
8.2,0.32,11.7
6.4,0.64,12.6
6.6,0.54,10.2
6.9,0.77,9.6
6,0.38,12.3
8.5,0.4,9.9
5.7,0.61,12.3
8.4,0.6,10.5
7,0.81,9.9
6.6,0.49,10.9
6.7,0.57,10.5
6.5,0.76,11.3333333333333
6.3,0.33,12.9
6.4,0.4,9.1
5.8,0.31,9.4
9.2,0.25,10.5
6.8,0.54,11
7.1,0.55,11.4
6.2,0.37,10.5
9.7,0.82,9.6
6.2,0.69,11
6.5,0.4,10.1
4.8,0.61,9.9
5.1,0.4,11.5
6.9,0.82,11.9
6,0.36,9.3
7.2,0.64,9.2
7.7,0.45,9.9
7.2,0.51,9.9
7.6,0.51,9.3
6.6,0.38,9
8.3,0.58,9.4
7,0.62,11.4
6.8,0.57,12
8.1,0.45,11.1
6.8,0.51,9.8
8.7,0.65,9.55
7.9,0.54,9.5
7.5,0.63,9.6
6.8,0.47,12.3
7.4,0.55,11.3
7.2,0.54,10.1
5.2,0.4,11.6
8.2,0.34,10.1
7.4,0.63,10.5
6,0.42,11.3
7.9,0.91,9.5
6.9,0.43,9.1
6.6,0.56,9.4
10.2,0.49,9.3
5.1,0.49,10.4
7.3,0.41,9.9
6.5,0.42,9.2
7,0.46,9.8
6.6,0.39,8.7
6.4,0.54,10.1
6.1,0.56,11.4
7.6,0.42,9.2
7.3,0.45,12
7.7,0.66,11.2
9.5,0.73,11
7.1,0.38,9.4
5.8,0.42,11.3
6.6,0.42,9.2
5.8,0.43,9.5
7.6,0.49,9.8
5.7,0.44,9.4
6.5,0.54,10.8
8.2,0.46,9.6
9.8,0.43,10
9.8,0.58,10.5
6.9,0.57,9.4
6.5,0.41,11.6
6.5,0.3,11.5
7.9,0.87,8.7
6.4,0.4,9.3
6.4,0.58,9
7.6,0.64,9.1
5.9,0.42,11.9
7.1,0.58,10.7
5.6,0.48,10.5
6.6,0.45,11.2
8.6,0.56,9.4
6.1,0.48,10.4
7.2,0.52,11.1
5.1,0.39,11
5.5,0.44,11.65
5.8,0.38,11.3
6.9,0.54,11
8.6,0.31,10.3
8.9,0.35,12.4
9.3,0.79,10.7
8.1,0.56,11.3
8.4,0.32,11.4
6.8,0.46,8.6
6.2,0.48,9.5
6.1,0.42,10.2
7.6,0.4,9.3
7.3,0.5,9.8
6.6,0.58,10.7
7.1,0.49,10.3
7.4,0.52,9.6
6.1,0.43,10.2
5.8,0.47,12.9
8.5,0.7,9.6
8,0.66,12.4
6,0.5,11.3
6.3,0.43,8.6
7.6,0.68,11.2
7.4,0.52,9
6.8,0.4,10.8
8.9,0.49,9.5
5.9,0.39,9.5
6.6,0.6,12.6
7.9,0.69,9.5
7.7,0.41,13.6
8.4,0.5,9.1
10.6,1.05,9.4
7.3,0.46,9
7.3,0.5,10.9
7.4,0.48,10.7
7.3,0.47,10.7
6.2,0.46,9.2
8.4,0.65,9.4
5.2,0.58,9.7
9.4,0.61,10.3
6.1,0.43,9
6.1,0.32,9.5
6,0.4,10.9
6.8,0.58,10.4
5.6,0.62,10.1
6.6,0.48,9.4
8.2,0.58,9.7
6.3,0.49,8.7
6.7,0.36,11.7
8,0.95,10.5
8.2,0.81,11
6.6,0.57,9.4
6.8,0.4,8.8
7.9,0.54,9.6
6.5,0.47,9.2
6.8,0.49,9.4
6.2,0.55,9.4
6.4,0.4,11
6.5,0.48,9.4
6.5,0.41,12.3
7,0.6,11.3
6.1,0.6,12.3
7.4,0.63,9.2
7.2,0.51,8.7
7.2,0.72,11.1
6.4,0.49,11.4
7.5,0.58,9.2
9,0.6,12.2
7,0.4,9.4
7.1,0.51,9.2
7.4,0.62,10.4
8.4,0.38,9.8
5.9,0.35,11.5
6.7,0.66,10.5
7.6,0.33,12.4
5.4,0.77,13.4
6,0.38,12.6
5.8,0.56,12.6
6.6,0.47,9.8
5.7,0.46,8.9
7.3,0.53,10.7
6,0.35,12.1
6.7,0.44,12.6
6.2,0.64,10.8
5.1,0.43,11.4
6.8,0.6,9.5
6.6,0.53,9.9
5.4,0.56,11.6
5.9,0.44,9.5
6.8,0.54,9.1
8.1,0.49,10.1
11.5,0.53,11
7.5,0.62,9.3
