7.6,0.35,0.6,2.6,0.073,23,44,0.99656,3.38,0.79,11.1,4
5.3,0.24,0.33,1.3,0.033,25,97,0.9906,3.59,0.38,11,6
7.2,0.33,0.28,1.4,0.034,26,109,0.99246,3.28,0.57,10.6,4
5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,4
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,3
6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,3
6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,4
7,0.14,0.32,9,0.039,54,141,0.9956,3.22,0.43,9.4,4
6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8,3
7.2,0.27,0.37,5.4,0.026,27,114,0.99174,3.13,0.84,12.7,3
6.1,0.64,0.02,2.4,0.069,26,46,0.99358,3.47,0.45,11,3
6,0.26,0.29,1,0.032,27,96,0.9896,3.38,0.44,12.3,4
7.5,0.4,1,19.5,0.041,33,148,0.9977,3.24,0.38,12,4
7.5,0.21,0.29,1.5,0.046,35,107,0.99123,3.15,0.45,11.3,4
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,3
7.7,0.28,0.29,4.3,0.051,25,142,0.9939,3.16,0.39,10.2,3
7,0.13,0.3,5,0.056,31,122,0.9945,3.47,0.42,10.5,4
9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,5
6.8,0.18,0.28,1.1,0.027,32,112,0.99089,3.15,0.45,11,5
7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,4
8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,2
9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,4
8.1,0.26,0.33,11.1,0.052,52.5,158,0.9976,3.03,0.49,10.2,5
7,0.22,0.24,11,0.041,75,167,0.99508,2.98,0.56,10.5,4
6,0.22,0.33,12.2,0.033,25,97,0.99356,3.17,0.42,11.3,5
6.5,0.36,0.31,4.1,0.061,20,134,0.99475,3.18,0.45,9,4
6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,5
8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10,3
5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.65,4
7.3,0.2,0.26,1.6,0.04,36,123,0.99238,3.34,0.44,10.8,4
6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,3
6.8,0.27,0.28,13.3,0.076,50,163,0.9979,3.03,0.38,8.6,4
6,0.34,0.32,3.8,0.044,13,116,0.99108,3.39,0.44,11.8,5
8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,4
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,3
7.6,0.2,0.36,1.9,0.043,24,111,0.99237,3.29,0.54,11.3,4
8.1,0.46,0.31,1.7,0.052,50,183,0.9923,3.03,0.42,11.2,3
6.8,0.18,0.32,7.2,0.047,17,109,0.99498,3.42,0.44,10.4,4
7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,3
5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,5
6.8,0.15,0.41,12.9,0.044,79.5,182,0.99742,3.24,0.78,10.2,4
6.7,0.5,0.38,7.5,0.046,26,175,0.99662,3.32,0.54,9.6,3
7.8,0.3,0.37,1.3,0.051,16,96,0.9941,3.32,0.62,10,3
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,4
6.2,0.28,0.41,5,0.043,50,188,0.99318,3.23,0.64,10.8,4
9.2,0.22,0.4,2.4,0.054,18,151,0.9952,3.04,0.46,9.3,2
7.2,0.17,0.41,1.6,0.052,24,126,0.99228,3.19,0.49,10.8,3
6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7,5
6.7,0.62,0.24,1.1,0.039,6,62,0.9934,3.41,0.32,10.4,3
6.8,0.21,0.74,1.2,0.047,25,111,0.9916,3.13,0.41,10.7,4
13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,4
6.4,0.2,0.22,7.4,0.032,53,172,0.99404,3.24,0.58,11,4
6.4,0.28,0.27,11,0.042,45,148,0.99786,3.14,0.46,8.7,3
6.4,0.29,0.24,3.2,0.037,31,95,0.98942,2.9,0.66,12.6,5
9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,4
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,5
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,2
7.4,0.2,0.28,9.1,0.047,29,95,0.99532,3.16,0.47,9.8,5
7.4,0.26,0.31,7.6,0.047,52,177,0.9962,3.13,0.45,8.9,4
8.6,0.22,0.33,1.2,0.031,38,95,0.99239,2.83,0.31,10.3,3
5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,3
6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12,6
6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,3
6.5,0.22,0.19,4.5,0.096,16,115,0.9937,3.02,0.44,9.6,3
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,3
6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,3
7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,3
8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,4
