6,4,96,27,0.9896,1,0.032,0.44,3.38,0.29,12.3,0.26
7,5,140,45,0.99216,9.1,0.036,0.31,2.98,0.31,12,0.31
5.6,3,13,5,0.9942,1.7,0.049,0.58,3.72,0.04,11.4,0.54
6.4,3,12,6,0.99551,2.3,0.166,0.51,3.56,0,10.8,0.885
6.6,5,106,43,0.99112,5.35,0.029,0.43,2.93,0.29,11.5,0.21
7.3,3,136,14,0.9936,3.2,0.05,0.44,3.25,0.21,10.2,0.34
6.5,4,193,41,0.99223,1.7,0.034,0.59,3.25,0.52,10.4,0.29
6.3,3,252,58,0.99806,12.9,0.056,0.49,3.29,0.55,8.7,0.695
9.8,3,66,34,0.99726,2.5,0.081,0.58,3.15,0.38,9.8,0.45
6.5,4,93,38,0.9906,3,0.036,0.59,3.16,0.32,12,0.29
7.2,3,224,41,0.9966,7.1,0.054,0.55,3.38,0.26,10.1,0.16
6.3,4,175,35,0.9918,2.2,0.043,0.43,3.38,0.29,11.6,0.26
5.2,5,129,23,0.98949,2,0.036,0.77,3.36,0.18,13.4,0.5
6.5,4,130,47,0.996,10.8,0.042,0.4,3.08,0.24,10.1,0.26
7.7,3,31,9,0.9966,1.9,0.062,0.64,3.39,0.26,9.6,0.49
7.6,4,35,30,0.99533,2.1,0.068,0.65,3.48,0,11.4,0.715
7.9,4,178,25,0.995,3,0.061,0.51,3.22,0.37,10,0.18
6.6,5,138,36,0.9922,3.9,0.045,0.64,3.15,0.24,11.3,0.23
6.3,4,111,26,0.99074,1.2,0.034,0.51,3.16,0.36,11,0.18
7.4,5,153,34,0.9953,15.1,0.03,0.51,3.13,0.24,12,0.49
7.6,4,43,21,0.9964,3,0.087,0.57,3.32,0.14,10.5,0.41
6.1,4,125,19,0.9957,9.8,0.031,0.47,3.36,0.15,10.2,0.55
7,4,69,12,0.99633,4.8,0.085,0.7,3.32,0.28,11,0.58
5.9,4,142,45,0.98984,1.8,0.033,0.5,3.35,0.31,12.7,0.21
6.3,4,143,40,0.99374,6.8,0.051,0.59,3.43,0.29,11,0.28
5.8,4,11,3,0.9915,1.7,0.063,0.54,3.39,0.26,13.5,0.29
6.6,3,144,47,0.99471,4.9,0.158,0.49,3.17,0.24,9.4,0.41
7.1,5,126,26,0.99,1.5,0.027,0.33,3.3,0.49,12.2,0.34
11.9,4,24,12,0.9958,2.3,0.078,0.65,3,0.69,12.8,0.37
5.7,4,112,44,0.99837,13.8,0.047,0.66,2.97,0.24,8.8,0.2
5.7,4,81,26,0.9902,1.1,0.035,0.52,3.31,0.25,11.4,0.21
6.7,6,179,105,0.99189,3.85,0.042,0.59,3.04,0.3,11.3,0.24
7.3,3,28,18,0.99765,2.2,0.08,0.6,3.41,0,9.4,0.735
7.9,4,103,23,0.9932,1.2,0.044,0.54,3.19,0.26,10.5,0.33
6.1,4,99,24,0.99153,2.6,0.041,0.5,3.18,0.37,10.9,0.19
8.1,3,63,11,0.9908,1.45,0.033,0.56,2.99,0.41,12,0.27
7.4,4,178,53,0.9976,13.2,0.067,0.48,3.01,0.36,9,0.25
5.4,5,93,13,0.9924,1.2,0.046,0.85,3.57,0.08,13,0.835
8.3,5,162,41,0.9944,9.2,0.042,0.38,3.1,0.41,12,0.26
7.9,4,79,10,0.99677,2,0.079,0.69,3.29,0.31,9.5,0.57
5.6,4,67,17,0.9918,1.1,0.043,0.53,3.23,0.39,10.3,0.19
6.6,3,101,31,0.99009,1.6,0.04,0.66,3.15,0.37,12,0.22
6,3,197,61,0.9932,1.1,0.051,0.4,3.02,0.42,9,0.45
6.9,4,116,45,0.99244,6.9,0.03,0.54,2.8,0.35,11,0.23
7.8,3,67,31,0.99668,3.8,0.107,0.46,3.26,0.26,9.2,0.87
8.6,3,96,13,0.99645,11.3,0.031,0.4,3.11,0.25,10.8,0.23
